short_id,dam_name,survey_yr1,survey_yr2
120976,Box Elder Creek Dam,1965,1980
120977,Lower Willow Creek Dam,1962,1973
120978,Lower Baker Dam,1908,1970
120979,Lexington Storage Reservoir Dam,1935,1951
120980,Third Creek Watershed Dam #7a,1957,1969
120981,Nantahala,1950,1969
120982,Thorpe,1950,1969
120983,Franklinton Reservoir #2 Dam,1925,1938
120984,Lake Concord Dam,1925,1935
120985,Lake Lee Dam,1927,1938
120986,Long Lake Dam,1924,1939
120987,Tillery,1928,1940
120988,Roberdel Lake Dam,1892,1940
120989,City Lake Dam,1928,1938
120990,Lake Brandt Dam,1923,1934
120991,Apex Lake Dam,1925,1941
120992,Cruse Dam,1966,1979
120993,San-Lee Park Upper Dam,1927,1941
120994,Erie Dam,1970,1981
120995,Krapp Brothers Dam,1971,1981
120996,Van Osting Dam; William,1950,1964
120997,Magnolia Dam,1908,1956
120998,Gustafson Dam; Curtis,1941,1955
120999,Gering Valley C,1939,1952
121000,Twin Lakes Dam,1966,2018
121001,Carnegie Lake Dam,1907,1950
121002,Stony Brook W.S. # 5 (Baldwin) Dam,1962,1976
121003,Prop Canyon Site 1 Dam,1982,1992
121004,Tramperos Creek No. 2 Dam,1961,1972
121005,Santa Cruz Site 2g Dam,1962,1974
121006,Santa Cruz Site 4 Dam,1962,1975
121007,Lake McMillan,1894,1956
121008,Dorsey Creek Dam,1952,1963
121009,Willow Creek Dam,1924,1939
121010,Hollinger Debris Dam,1962,1972
121011,Ed Pylkas Dam,1955,1966
121012,Pelto Dam,1955,1966
121013,Caldwell Lake Dam,1937,1949
121014,Pine Lake Dam,1938,1950
121015,Bucyrus Reservoir #2,1919,1949
